week_start,bacardi_total_sales
12/30/2013,"$103,571.98 "
1/6/2014,"$490,524.36 "
1/13/2014,"$447,590.16 "
1/20/2014,"$428,955.46 "
1/27/2014,"$475,711.64 "
2/3/2014,"$529,850.26 "
2/10/2014,"$599,688.54 "
2/17/2014,"$443,779.22 "
2/24/2014,"$509,326.00 "
3/3/2014,"$440,520.08 "
3/10/2014,"$502,320.28 "
3/17/2014,"$419,166.14 "
3/24/2014,"$405,249.02 "
3/31/2014,"$490,911.36 "
4/7/2014,"$490,213.32 "
4/14/2014,"$515,928.06 "
4/21/2014,"$471,990.98 "
4/28/2014,"$592,255.16 "
5/5/2014,"$778,260.90 "
5/12/2014,"$617,058.22 "
5/19/2014,"$747,491.26 "
5/26/2014,"$430,340.18 "
6/2/2014,"$307,044.64 "
6/9/2014,"$326,445.05 "
6/16/2014,"$260,574.11 "
6/23/2014,"$407,727.94 "
6/30/2014,"$196,329.06 "
7/7/2014,"$320,258.23 "
7/14/2014,"$296,343.28 "
7/21/2014,"$275,525.67 "
7/28/2014,"$252,164.11 "
8/4/2014,"$381,238.97 "
8/11/2014,"$303,088.11 "
8/18/2014,"$298,043.09 "
8/25/2014,"$376,471.24 "
9/1/2014,"$210,233.55 "
9/8/2014,"$367,539.46 "
9/15/2014,"$323,953.68 "
9/22/2014,"$262,008.24 "
9/29/2014,"$302,466.96 "
10/6/2014,"$402,240.24 "
10/13/2014,"$435,098.57 "
10/20/2014,"$272,511.39 "
10/27/2014,"$414,582.52 "
11/3/2014,"$289,789.71 "
11/10/2014,"$150,411.07 "
11/17/2014,"$355,570.78 "
11/24/2014,"$114,493.22 "
12/1/2014,"$313,106.09 "
12/8/2014,"$115,789.94 "
