county,population,sales_per_capita,,,,total_sales_revenue
Polk,430640,11.6081,,,,$324.00 
Linn,211226,8.0105,,,,"$2,640.79 "
Scott,165224,10.5425,,,,"$5,639.28 "
Black Hawk,131090,8.9226,,,,"$5,526.74 "
Johnson,130882,11.2443,,,,"$2,608.64 "
Woodbury,102172,7.2611,,,,"$8,675.94 "
Dubuque,93653,8.6241,,,,"$6,070.76 "
Pottawattamie,93158,8.5388,,,,"$9,257.56 "
Story,89542,7.9576,,,,"$12,890.83 "
Dallas,66135,9.4314,,,,"$4,534.01 "
Clinton,49116,5.7339,,,,"$12,181.99 "
Warren,46225,2.4453,,,,"$9,401.85 "
Cerro Gordo,44151,9.6242,,,,"$7,228.42 "
Muscatine,42745,6.402,,,,"$16,101.61 "
Marshall,40648,4.2259,,,,"$35,458.29 "
Des Moines,40325,7.0433,,,,"$10,341.44 "
Webster,38013,6.0342,,,,"$11,394.74 "
Jasper,36842,2.7025,,,,"$27,141.01 "
Lee,35862,6.8042,,,,"$26,196.10 "
Wapello,35625,4.2316,,,,"$11,060.08 "
Sioux,33704,3.8476,,,,"$19,724.16 "
Marion,33309,4.1825,,,,"$15,618.24 "
Boone,26306,3.9437,,,,"$27,614.22 "
Benton,26076,1.3598,,,,"$34,468.89 "
Plymouth,24986,3.9391,,,,"$32,333.08 "
Bremer,24276,4.9977,,,,"$28,436.58 "
Mahaska,22381,2.7917,,,,"$25,670.92 "
Washington,21704,4.6691,,,,"$22,717.33 "
Winneshiek,21056,5.2656,,,,"$113,032.02 "
Buchanan,20958,3.0172,,,,"$40,060.33 "
Fayette,20880,2.9566,,,,"$46,359.44 "
Carroll,20816,11.4219,,,,"$99,564.47 "
Jones,20638,4.0548,,,,"$46,136.17 "
Buena Vista,20260,6.2419,,,,"$62,480.56 "
Henry,20145,3.0025,,,,"$21,515.54 "
Jackson,19848,3.3731,,,,"$26,126.79 "
Poweshiek,18914,3.9359,,,,"$27,261.48 "
Cedar,18499,1.4672,,,,"$31,717.83 "
Clayton,18129,2.5572,,,,"$61,733.24 "
Tama,17767,1.9401,,,,"$18,226.76 "
Delaware,17764,3.3767,,,,"$60,484.77 "
Hardin,17534,7.0743,,,,"$63,235.22 "
Crawford,17096,4.4926,,,,"$66,948.39 "
Jefferson,16843,2.7392,,,,"$59,983.69 "
Clay,16667,5.5107,,,,"$39,498.20 "
Dickinson,16667,21.3381,,,,"$24,214.49 "
Iowa,16355,6.1811,,,,"$49,562.45 "
Floyd,16303,3.8486,,,,"$46,853.14 "
Page,15932,3.6226,,,,"$37,829.24 "
Madison,15679,1.6708,,,,"$45,914.71 "
Hamilton,15673,2.556,,,,"$36,939.01 "
Kossuth,15543,7.0141,,,,"$37,155.68 "
Mills,15059,2.1471,,,,"$51,494.40 "
Harrison,14928,1.8498,,,,"$35,280.74 "
Butler,14867,0.8671,,,,"$57,715.61 "
O'Brien,14398,3.4423,,,,"$27,787.50 "
Allamakee,14330,3.5935,,,,"$34,907.31 "
Cass,13956,4.1176,,,,"$129,679.32 "
Wright,13229,3.5417,,,,"$62,743.60 "
Appanoose,12884,3.5637,,,,"$74,442.75 "
Union,12534,4.1799,,,,"$98,421.36 "
Grundy,12453,0.9782,,,,"$103,743.97 "
Chickasaw,12439,1.2944,,,,"$83,683.67 "
Shelby,12167,5.6193,,,,"$57,464.92 "
Cherokee,12072,2.3556,,,,"$52,390.80 "
Lyon,11581,3.4106,,,,"$139,313.36 "
Louisa,11387,0.813,,,,"$171,773.87 "
Hancock,11341,1.7392,,,,"$150,752.51 "
Guthrie,10954,0.792,,,,"$76,806.28 "
Winnebago,10866,5.9855,,,,"$101,337.46 "
Mitchell,10776,2.9434,,,,"$44,911.51 "
Montgomery,10740,2.3902,,,,"$44,902.11 "
Franklin,10680,3.5421,,,,"$121,325.16 "
Keokuk,10511,0.5365,,,,"$110,873.07 "
Sac,10350,3.5899,,,,"$91,847.67 "
Emmet,10302,3.5856,,,,"$68,370.03 "
Humboldt,9815,3.5946,,,,"$281,625.43 "
Calhoun,9670,2.8192,,,,"$65,038.49 "
Howard,9566,4.6949,,,,"$229,378.44 "
Palo Alto,9421,4.7662,,,,"$101,092.47 "
Greene,9336,2.4333,,,,"$126,461.18 "
Clarke,9286,2.8136,,,,"$273,652.39 "
Monona,9243,3.7766,,,,"$244,011.46 "
Lucas,8898,1.7553,,,,"$109,020.44 "
Davis,8753,0.6314,,,,"$284,021.72 "
Decatur,8457,1.1117,,,,"$124,040.40 "
Monroe,7970,1.4297,,,,"$741,883.15 "
Adair,7682,2.8008,,,,"$712,537.51 "
Worth,7598,3.6572,,,,"$1,692,016.44 "
Van Buren,7570,0.8019,,,,"$795,456.35 "
Fremont,7441,0.0435,,,,"$807,669.51 "
Pocahontas,7310,1.4147,,,,"$1,169,665.99 "
Ida,7089,3.4158,,,,"$623,742.77 "
Osceola,6462,1.7116,,,,"$424,916.52 "
Wayne,6403,1.1289,,,,"$1,741,874.47 "
Taylor,6317,0.418,,,,"$1,471,673.94 "
Audubon,6119,2.9787,,,,"$237,758.59 "
Ringgold,5131,0.8837,,,,"$4,998,921.00 "
Adams,4029,0.6475,,,,"$355,642.88 "
