category_name,item_description,vendor_name, sum ,,,,
FLAVORED RUM,Malibu Coconut Rum,Pernod Ricard Usa/austin Nichols,"$3,431,143.75 ",,,,
FLAVORED RUM,Bacardi Limon,Bacardi U.s.a. Inc.,"$1,498,386.52 ",,,,
FLAVORED RUM,Bacardi Dragon Berry,Bacardi U.s.a. Inc.,"$395,053.74 ",,,,
FLAVORED RUM,Bacardi O,Bacardi U.s.a. Inc.,"$219,351.13 ",,,,
FLAVORED RUM,Malibu Pineapple Rum,Pernod Ricard Usa/austin Nichols,"$153,143.22 ",,,,
IMPORTED DRY GINS,Tanqueray Gin,Diageo Americas,"$2,642,900.95 ",,,,
IMPORTED DRY GINS,Bombay Sapphire Gin,Bacardi U.s.a. Inc.,"$1,265,229.51 ",,,,
IMPORTED DRY GINS,Beefeater Gin,Pernod Ricard Usa/austin Nichols,"$595,556.50 ",,,,
IMPORTED DRY GINS,Hendrick's Gin,William Grant And Sons Inc.,"$382,933.12 ",,,,
IMPORTED DRY GINS,Bombay Dry Gin,Bacardi U.s.a. Inc.,"$95,496.40 ",,,,
PUERTO RICO & VIRGIN ISLANDS RUM,Bacardi Superior Rum,Bacardi U.s.a. Inc.,"$4,895,721.66 ",,,,
PUERTO RICO & VIRGIN ISLANDS RUM,Paramount White Rum,Luxco-st Louis,"$2,287,962.99 ",,,,
PUERTO RICO & VIRGIN ISLANDS RUM,Bacardi Gold Rum,Bacardi U.s.a. Inc.,"$838,135.45 ",,,,
PUERTO RICO & VIRGIN ISLANDS RUM,Paramount Gold Rum,Luxco-st Louis,"$744,953.37 ",,,,
PUERTO RICO & VIRGIN ISLANDS RUM,Captain Morgan White,Diageo Americas,"$517,175.97 ",,,,
SCOTCH WHISKIES,Dewar's White Label Scotch,Bacardi U.s.a. Inc.,"$1,245,457.52 ",,,,
SCOTCH WHISKIES,Lauder's,Sazerac North America,"$787,046.70 ",,,,
SCOTCH WHISKIES,Johnnie Walker Black,Diageo Americas,"$705,969.27 ",,,,
SCOTCH WHISKIES,Scoresby Rare Scotch,Diageo Americas,"$704,315.63 ",,,,
SCOTCH WHISKIES,Johnnie Walker Red,Diageo Americas,"$680,718.13 ",,,,
,,,,,,,
Count of  sum ,Column Labels,,,,,,
Row Labels,Bacardi U.s.a. Inc.,Diageo Americas,Luxco-st Louis,Pernod Ricard Usa/austin Nichols,Sazerac North America,William Grant And Sons Inc.,Grand Total
SCOTCH WHISKIES,1,3,,,1,,5
PUERTO RICO & VIRGIN ISLANDS RUM,2,1,2,,,,5
FLAVORED RUM,3,,,2,,,5
IMPORTED DRY GINS,2,1,,1,,1,5
Grand Total,8,5,2,3,1,1,20
,,,,,,,
