new_vendor,total_sales_revenue,,,
Diageo Americas,"$84,264,824.47 ",,,
Jim Beam Brands,"$31,493,762.83 ",,Row Labels,Sum of total_sales_revenue
Pernod Ricard USA/Austin Nichols,"$28,157,424.53 ",,Diageo Americas,"$84,264,824.47 "
Brown-Forman Corporation,"$25,449,644.59 ",,Jim Beam Brands,"$31,493,762.83 "
Luxco-St Louis,"$24,116,582.09 ",,Pernod Ricard USA/Austin Nichols,"$28,157,424.53 "
Constellation Wine Company Inc.,"$23,052,884.38 ",,Brown-Forman Corporation,"$25,449,644.59 "
Bacardi,"$21,216,356.72 ",,Luxco-St Louis,"$24,116,582.09 "
Sazerac Co. Inc.,"$19,760,750.80 ",,Constellation Wine Company Inc.,"$23,052,884.38 "
Sazerac North America,"$14,501,094.58 ",,Bacardi,"$21,216,356.72 "
Phillips Beverage Company,"$12,430,033.14 ",,Sazerac Co. Inc.,"$19,760,750.80 "
Proximo,"$11,980,996.91 ",,Sazerac North America,"$14,501,094.58 "
Heaven Hill Distilleries Inc.,"$8,404,444.21 ",,Phillips Beverage Company,"$12,430,033.14 "
Laird And Company,"$7,723,530.97 ",,Grand Total,"$284,443,358.13 "
E AND J GALLO WINERY,"$7,131,720.33 ",,,
Sidney Frank Importing Co.,"$7,092,632.88 ",,,
Moet Hennessy USA Inc.,"$6,054,925.72 ",,,
The Patron Spirits Company,"$5,240,560.65 ",,,
MHW Ltd,"$4,932,336.42 ",,,
Mccormick Distilling Company,"$4,560,246.79 ",,,
Campari(skyy),"$4,329,914.50 ",,,
Wilson Daniels Ltd.,"$3,656,641.84 ",,,
"Constellation Wine Company, Inc.","$3,619,574.01 ",,,
Fifth Generation Inc.,"$3,324,512.66 ",,,
U.S. Distilled Prod. Co,"$3,063,857.75 ",,,
"Sazerac Co., Inc.","$3,059,796.45 ",,,
REMY COINTREAU USA         .,"$3,008,641.88 ",,,
WILLIAM GRANT AND SONS INC.,"$2,530,861.63 ",,,
LUXCO,"$2,144,272.96 ",,,
Stoli Group,"$1,447,889.70 ",,,
Cedar Ridge VineyardsLLC,"$1,445,849.62 ",,,
Monsieur Henri Wines Ltd.,"$1,229,825.35 ",,,
Heaven Hill Brands,"$1,228,555.20 ",,,
A Hardy / U.S.A. Ltd.,"$1,211,683.68 ",,,
PARAMOUNT DISTILLERS INC.,"$1,067,919.82 ",,,
Piedmont Distillers,"$876,529.97 ",,,
"Moet Hennessy USA, Inc.","$857,256.94 ",,,
Mississippi River Distilling Co.,"$816,663.66 ",,,
Luxco-Cleveland,"$588,001.41 ",,,
Hood River Distillers Inc.,"$430,247.54 ",,,
"WILLIAM GRANT AND SONS, INC.","$372,153.77 ",,,
Western Spirits Beverage Co. LLC,"$300,068.47 ",,,
Ole Smoky Distillery LLC,"$300,052.23 ",,,
Imperial Brands Inc.,"$281,311.65 ",,,
"Cedar Ridge Vineyards,LLC","$261,842.48 ",,,
Iowa Distilling Company,"$245,606.83 ",,,
Gemini Spirits,"$153,865.43 ",,,
Serralles USA,"$145,975.55 ",,,
Four Roses Distillery,"$120,296.90 ",,,
Park Street Imports-Sweet Revenge,"$117,651.20 ",,,
Trinchero Family Estates,"$111,535.43 ",,,
Paradise Distilling Company,"$105,904.95 ",,,
W. J. Deutsch And Sons Ltd.,"$103,658.29 ",,,
Shaw Ross International Importers LL,"$99,894.42 ",,,
Yahara Bay Distillers Inc,"$98,029.11 ",,,
F. Korbel and Brothers Inc.,"$93,639.81 ",,,
Louisville Distilling Co,"$84,745.50 ",,,
Savvy Distillers LP,"$80,593.14 ",,,
Disaronno International LLC,"$80,006.34 ",,,
Mango Bottling Inc.,"$75,294.14 ",,,
Charles Jacquin Et. Cie. Inc.,"$73,820.18 ",,,
Rogue Ales and Spirits,"$73,090.75 ",,,
Anchor Distilling (PREISS IMPORTS),"$68,234.05 ",,,
