Time,Alcoholic beverage,The Weather Channel,
12/29/2013,35,54,
1/5/2014,29,60,
1/12/2014,31,49,
1/19/2014,34,50,
1/26/2014,29,76,
2/2/2014,28,69,
2/9/2014,28,49,
2/16/2014,29,78,
2/23/2014,30,58,
3/2/2014,34,46,
3/9/2014,36,38,
3/16/2014,32,33,
3/23/2014,34,31,
3/30/2014,34,42,
4/6/2014,32,34,
4/13/2014,33,43,
4/20/2014,35,44,
4/27/2014,32,68,
5/4/2014,31,53,
5/11/2014,28,64,
5/18/2014,30,40,
5/25/2014,31,42,
6/1/2014,28,69,
6/8/2014,29,41,
6/15/2014,43,100,
6/22/2014,39,60,
6/29/2014,39,85,
7/6/2014,35,48,
7/13/2014,34,29,
7/20/2014,35,40,
7/27/2014,32,25,
8/3/2014,40,40,
8/10/2014,29,30,
8/17/2014,29,37,
8/24/2014,26,45,
8/31/2014,31,41,
9/7/2014,26,45,
9/14/2014,31,26,
9/21/2014,31,18,
9/28/2014,30,32,
10/5/2014,29,20,
10/12/2014,29,26,
10/19/2014,28,21,
10/26/2014,34,20,
11/2/2014,33,27,
11/9/2014,34,43,
11/16/2014,35,36,
11/23/2014,29,40,
11/30/2014,33,20,
12/7/2014,31,17,
12/14/2014,31,25,
12/21/2014,33,33,
12/28/2014,39,31,
